candidate,evaluation
mastery climate,FALSE
effect of force symmetry,FALSE
employment physical,FALSE
- and later-maturing group,FALSE
zigzag movement,FALSE
shoulder extension,FALSE
adaptive response,FALSE
entire season,FALSE
middle and right hand photo,FALSE
effect relationship,FALSE
group of competitive swimmer,FALSE
stroke be asymmetrical,FALSE
water action,FALSE
performance test,FALSE
large lung,FALSE
stress questionnaire,FALSE
percentage of fast twitch,FALSE
coach marsh,FALSE
high volume training,FALSE
pre-event,FALSE
athletic career,FALSE
hydrodynamic force coefficient,FALSE
postural form,FALSE
average exchange time,FALSE
block facility,FALSE
faculty of sport science,FALSE
great number of coach,FALSE
function of olympiad and sex,FALSE
limited time,FALSE
muscle be short,FALSE
re-evaluation of force,FALSE
lumbar lordosis alteration,FALSE
range of stroke length,FALSE
recovery period,FALSE
training and taper period,FALSE
straight arm,FALSE
semi-circular sweep,FALSE
maximal velocity,FALSE
arm pull,FALSE
forearm and upper arm,FALSE
science & technology committee,FALSE
absolute thoracic kyphosis,FALSE
substantial protection,FALSE
season be consistent,FALSE
starting variant,FALSE
nybo,FALSE
scientific approach,FALSE
photo of figure,FALSE
freestyle sprint,FALSE
rmsea,FALSE
imbalance be unique,FALSE
moderate speed,FALSE
final propulsive phase,FALSE
dietary intake,FALSE
surface area,FALSE
kinanthropometry,FALSE
elevated,FALSE
concept of training,FALSE
breaststroke kick,FALSE
naemi,FALSE
combination of experience,FALSE
study design,FALSE
arm coordination symmetry,FALSE
sensory,FALSE
non-breathing cycle,FALSE
preliminary investigation,FALSE
conception of ability,FALSE
goal setting,FALSE
malmö,FALSE
well-trained athlete,FALSE
skinfold,FALSE
form resistance,FALSE
nutrition plan,FALSE
nutritional plan,FALSE
portion of stroke pattern,FALSE
sport administrator,FALSE
actual preparation strategy,FALSE
phenomenon be unclear,FALSE
variant distribution,FALSE
evidence-based recommendation,FALSE
angular acceleration,FALSE
force variation,FALSE
seasonal hand force variation,FALSE
endurance of fast twitch,FALSE
explanation be true,FALSE
height and body mass,FALSE
finding be consistent,FALSE
sfps questionnaire,FALSE
maximum velocity,FALSE
low level of asca training,FALSE
stroke-cycles,FALSE
traditional upsweep,FALSE
season be beneficial,FALSE
3d method,FALSE
physiological rationale,FALSE
swimmer be unable,FALSE
out-placed team,FALSE
metabolic adaptation,FALSE
change be great,FALSE
out-placing,FALSE
range of stroke rate,FALSE
diaphragm,FALSE
acceleration of centre of mass,FALSE
usa swimming site,FALSE
training yardage,FALSE
team with average exchange,FALSE
early adulthood,FALSE
sprint test,FALSE
muscle group,FALSE
elite master runner,FALSE
breathing pattern,FALSE
fast twitch motor unit,FALSE
performance and psychological variable,FALSE
evaluation of performance,FALSE
clinical inspection,FALSE
school of health promotion,FALSE
great increase,FALSE
race performance,FALSE
traditional two-peak backstroke swimmer,FALSE
potential of hand and forearm,FALSE
repeat speed,FALSE
phase of start and turn,FALSE
scoliosis of spine,FALSE
limitation of study,FALSE
facet of training process,FALSE
etiology of asymmetry,FALSE
improvement be evident,FALSE
length with rest period,FALSE
great progress,FALSE
effect of moderate-intensity endurance,FALSE
journal of medicine and science,FALSE
grand fork,FALSE
top swimmer,FALSE
postural asymmetry,FALSE
physiological response,FALSE
short final upsweep,FALSE
swim-efficiency index,FALSE
aforementioned component,FALSE
flow and increase resistance,FALSE
non-preferred side,FALSE
group and competition level,FALSE
muscle soreness,FALSE
periodic hand force testing,FALSE
biceps muscle,FALSE
front crawl technique,FALSE
high level of competition,FALSE
visual and graphic datum,FALSE
general question,FALSE
incidence of joint pain,FALSE
adequate quantity,FALSE
stroke-cycle,FALSE
sweep of arm,FALSE
team with short exchange,FALSE
rule and block configuration,FALSE
group and competitive level,FALSE
lasting joint pain,FALSE
youtube video,FALSE
body landmark,FALSE
glide factor,FALSE
short video,FALSE
present time swimmer,FALSE
high-intensity repeat,FALSE
racing strategy,FALSE
winning time,FALSE
early relay exchange,FALSE
male and female backstroke swimmer,FALSE
physiological variable,FALSE
psychological and physiological variable,FALSE
swimmer be effective,FALSE
scientific sport,FALSE
stress biomarkers,FALSE
oxidative stress biomarkers,FALSE
shape be abundant,FALSE
significant interaction,FALSE
individual athlete,FALSE
free swimming,FALSE
camera view obstruction,FALSE
symmetrical stroke,FALSE
result of current study,FALSE
form drag,FALSE
anthropometry,FALSE
emg signal,FALSE
athletic activity,FALSE
training with substantial workload,FALSE
normative ability,FALSE
palpation,FALSE
knowledge of actual preparation,FALSE
international journal of sport biomechanic,FALSE
tennodai,FALSE
lumbar disorder,FALSE
period of fatigue,FALSE
holder and olympic champion,FALSE
performance record,FALSE
swim belt,FALSE
side be great,FALSE
barthels,FALSE
aquanex protocol,FALSE
critical speed,FALSE
parental criticism,FALSE
abduction and external rotation,FALSE
straight-line pull,FALSE
butterfly stroke,FALSE
hand angle of attack,FALSE
small sample size,FALSE
vo2max speed,FALSE
companion article,FALSE
possibility of team,FALSE
body temperature,FALSE
supine position,FALSE
side preference,FALSE
insweep be propulsive,FALSE
timing of ingestion,FALSE
recovery phase,FALSE
understanding of stroke mechanic,FALSE
twitch and slow twitch,FALSE
doctoral dissertation,FALSE
great hand velocity,FALSE
week program,FALSE
structural damage,FALSE
sagittal plane,FALSE
competitive swimming relay performance result,FALSE
random error,FALSE
joint lever system,FALSE
effective taper,FALSE
national caliber swimmer,FALSE
rest and recovery time,FALSE
muscle contraction,FALSE
bangsbo,FALSE
forward propulsion,FALSE
goal of training,FALSE
fast-twitch fiber,FALSE
state university po box,FALSE
pitfall of training,FALSE
optimal result,FALSE
shoulder strength,FALSE
age of competitor,FALSE
evaluation of athlete,FALSE
high force,FALSE
interesting finding,FALSE
high average velocity,FALSE
elite-level female swimmer,FALSE
aforementioned variable,FALSE
exercise metabolism,FALSE
sinking leg,FALSE
56-year-old man,FALSE
daily activity,FALSE
level 1b,FALSE
ventral,FALSE
output and hydrodynamic force,FALSE
haematological,FALSE
information be beneficial,FALSE
7th place,FALSE
movement of hand,FALSE
zigzag movement of hand,FALSE
email,FALSE
rate of metabolite accumulation,FALSE
curnow,FALSE
model of periodization,FALSE
periodization model,FALSE
effect of injury,FALSE
ability of swimmer,FALSE
great quantity,FALSE
effect be considerable,FALSE
actual swimming,FALSE
warm-up routine,FALSE
velocity graph of martin,FALSE
large portion,FALSE
electrode be free,FALSE
sense of accomplishment,FALSE
intention of article,FALSE
ninety-six coach,FALSE
discrepancy be great,FALSE
university of incarnate word,FALSE
training be essential,FALSE
unsteady flow,FALSE
datum analysis,FALSE
hand move,FALSE
unchanging,FALSE
quantity of moderate -,FALSE
wetsuits,FALSE
high stroke rate,FALSE
hierarchical linear regression,FALSE
arcadia university,FALSE
forward speed,FALSE
primary source,FALSE
team with long exchange,FALSE
specific swimmer,FALSE
curvy pull pattern,FALSE
long-distance workout,FALSE
cycle ergometer,FALSE
hip roll change,FALSE
hand position,FALSE
incorrect hand position,FALSE
swimmer be due,FALSE
training swimmer,FALSE
visual analog scale,FALSE
potential risk factor,FALSE
later-maturing swimmer,FALSE
identically,FALSE
liverpool john,FALSE
swim area,FALSE
forward movement,FALSE
biochemical adaptation,FALSE
intense sprint,FALSE
analysis of propulsive potential,FALSE
rodeo,FALSE
low-intensity swimming,FALSE
dynamical asymmetry,FALSE
freestyle stroke,FALSE
shoulder be noticeable,FALSE
result of correlation analysis,FALSE
front and side view,FALSE
total mood disturbance,FALSE
extreme right of figure,FALSE
stress-recovery,FALSE
demand of activity,FALSE
stroke biomechanic,FALSE
mechanical power output,FALSE
institutional review board,FALSE
fvc1,FALSE
aerobically,FALSE
preferential,FALSE
fatigue be normal,FALSE
computation of lift and drag force,FALSE
equivalent strengthening,FALSE
sport drink,FALSE
hyperextension of low back,FALSE
delayed menarche,FALSE
extension and internal rotation,FALSE
surface drag,FALSE
intra-stroke velocity fluctuation,FALSE
high training load,FALSE
muscular strain,FALSE
functional push-up test,FALSE
hand-path,FALSE
time of sample,FALSE
prescribed,FALSE
day-of-competition practice,FALSE
study be voluntary,FALSE
written consent,FALSE
recovery be symmetrical,FALSE
safdar,FALSE
hypothesis be correct,FALSE
exchange time of team,FALSE
strength imbalance,FALSE
increase of lordosis,FALSE
wilkin,FALSE
frequency of preventive measure,FALSE
muscle mitochondrion,FALSE
skeletal muscle mitochondrion,FALSE
balanced approach,FALSE
high competitive level,FALSE
propulsive potential of hand,FALSE
variant,FALSE
forearm,FALSE
front crawl stroke,FALSE
normoxic group,FALSE
federation internationale,FALSE
official stroke,FALSE
exercise training,FALSE
subscales,FALSE
glenohumeral,FALSE
plyometric,FALSE
interactive effect,FALSE
male backstroke,FALSE
male and female backstroke,FALSE
rp group,FALSE
fluid dynamic analysis,FALSE
paediatrics,FALSE
shoulder and hip roll,FALSE
winter swimming,FALSE
antero-posterior,FALSE
recovery-stress state,FALSE
quality of sleep,FALSE
american swim,FALSE
multidisciplinary,FALSE
baseline,FALSE
previous pb,FALSE
landmark point,FALSE
figure 1b,FALSE
sprint interval training increase,FALSE
arm syndrome,FALSE
febbraio,FALSE
simultaneous,FALSE
important improvement,FALSE
head lift,FALSE
pattern and forward velocity,FALSE
test protocol,FALSE
pushup,FALSE
correlation coefficient,FALSE
freshman,FALSE
duration and bilateral asymmetry,FALSE
similar initial adaptation,FALSE
long warm-up,FALSE
motivation and subjective well-being,FALSE
main competition,FALSE
potential and cycle endurance,FALSE
sprint event,FALSE
excessive training,FALSE
kinetic,FALSE
anaerobic metabolic function,FALSE
group of swimmer,FALSE
energy cost,FALSE
individual exchange time,FALSE
symmetry index,FALSE
near-maximum speed,FALSE
effect of change,FALSE
physical skill,FALSE
performance group,FALSE
age category,FALSE
muscle physiology,FALSE
leg extension,FALSE
lactate transport study,FALSE
bone and joint surgery,FALSE
acta,FALSE
terrestrial,FALSE
total volume,FALSE
arm and leg positioning,FALSE
deep phase,FALSE
lesson plan,FALSE
year of competitive swimming,FALSE
elbow flexor,FALSE
biology of physical activity,FALSE
dynamics analysis of swimmer,FALSE
proietto,FALSE
segment of race,FALSE
physiological and psychological recovery,FALSE
organization of bp and rp,FALSE
rotation of body,FALSE
sub-threshold training,FALSE
in-person training,FALSE
polar bear challenge event,FALSE
work intensity,FALSE
day-of-competition strategy,FALSE
high pps,FALSE
gleeson,FALSE
resultant and propulsive hand force,FALSE
shoulder flexion,FALSE
accuracy of estimate,FALSE
near-maximal,FALSE
pain-free swimming,FALSE
density of fast twitch,FALSE
50m sprint,FALSE
medicine and rehabilitation clinic,FALSE
training with series,FALSE
accuracy of recall,FALSE
vastus lateralis,FALSE
role of taper,FALSE
large muscle,FALSE
sectional area of body,FALSE
short send-off time,FALSE
length of body,FALSE
swimming ix,FALSE
olecranon,FALSE
muscle cell,FALSE
influence of exercise intensity,FALSE
perception of pain,FALSE
muscle ph,FALSE
hard training regime,FALSE
olympic history,FALSE
effect of taper,FALSE
propulsive component of swimming stroke,FALSE
type of stroke,FALSE
adipose tissue,FALSE
bodily technique,FALSE
competitive career,FALSE
st counterpart,FALSE
sprint swim,FALSE
average swimmer,FALSE
spinal angle,FALSE
youth baseball,FALSE
popular approach,FALSE
fluid force,FALSE
significance level,FALSE
swimming championship,FALSE
threshold concept of training,FALSE
session of sprint interval training,FALSE
human subject,FALSE
biomechanical study,FALSE
- and moderate-intensity training,FALSE
purpose of review,FALSE
high upper body action,FALSE
high or low intensity,FALSE
underwater distance,FALSE
shoulder impingement,FALSE
commonality,FALSE
replicators,FALSE
freestyle and butterfly swimmer,FALSE
nrem,FALSE
performance history,FALSE
count or stroke rate,FALSE
heavy chain myosin,FALSE
borderline high,FALSE
effective warm-up,FALSE
program of sprinter,FALSE
sport context,FALSE
interval versus traditional endurance,FALSE
affected arm,FALSE
coaching sample,FALSE
presence of angiogenic factor,FALSE
major finding,FALSE
cardiac tissue,FALSE
perceptual,FALSE
libre,FALSE
pre-olympic pb,FALSE
time-trial performance,FALSE
demographic,FALSE
energy supply,FALSE
front crawl swimmer,FALSE
- level female swimmer,FALSE
bmc musculoskeletal disorder,FALSE
vigor,FALSE
english channel attempt,FALSE
effect of warm-up,FALSE
effect of ss warm-up,FALSE
triathletes,FALSE
aquatic power performance,FALSE
imbalance ratio,FALSE
force and swimming velocity,FALSE
sophisticated equipment,FALSE
physiological resource,FALSE
seasonal variation,FALSE
skin and scuba diving,FALSE
professional baseball pitcher,FALSE
energy production,FALSE
influence of sprint training,FALSE
viscous,FALSE
asthmatic swimmer,FALSE
intense hyperventilation,FALSE
negative side,FALSE
drag coefficient,FALSE
good possibility,FALSE
motor asymmetry,FALSE
aerobic speed,FALSE
annals of human biology,FALSE
postnatal development,FALSE
additional benefit,FALSE
month season,FALSE
butterfly lc,FALSE
situational,FALSE
push-off,FALSE
drag and lift force,FALSE
increase speed,FALSE
butterfly sc,FALSE
long repeat distance,FALSE
online questionnaire,FALSE
scapular upward rotation,FALSE
long-term athlete development,FALSE
biomechanical principle,FALSE
non-contracted,FALSE
combined effect,FALSE
age of gold-medal -,FALSE
total lung capacity,FALSE
super-threshold,FALSE
backstroke sc,FALSE
10th week,FALSE
human physiology,FALSE
good validity,FALSE
capacity and lactate tolerance,FALSE
arm coordination,FALSE
high elbow recovery,FALSE
speed of swimmer,FALSE
underwater video,FALSE
chance of taper force,FALSE
specific relative swimming performance gain,FALSE
physical examination,FALSE
repeated cold exposure,FALSE
proper intensity,FALSE
sulcus,FALSE
period of reduction,FALSE
slow-twitch fiber,FALSE
core temperature,FALSE
standard error,FALSE
motor performance,FALSE
injury prevention measure,FALSE
beginning of program,FALSE
altitude level,FALSE
emg activity,FALSE
stability of lumbar spine,FALSE
difference be large,FALSE
backstroke swimming,FALSE
disability of arm,FALSE
group training,FALSE
finish placings,FALSE
race be large,FALSE
optimal distance,FALSE
college swimming,FALSE
main weakness,FALSE
scapular dyskinesis,FALSE
ricardo,FALSE
graph,FALSE
additional oxygen,FALSE
hand questionnaire,FALSE
hand paddle,FALSE
aim of research,FALSE
endocrinology,FALSE
personal good performance,FALSE
immunosuppression,FALSE
session rpe,FALSE
individual sport,FALSE
reaction torque,FALSE
water be crucial,FALSE
muscle and exercise performance,FALSE
oscillation,FALSE
surface electromyography,FALSE
arm photo,FALSE
stroke-type,FALSE
olympic athlete,FALSE
top-performing swimmer,FALSE
upper and low limb positioning,FALSE
cerin,FALSE
effect of muscle fiber recruitment,FALSE
30-second sprint,FALSE
force-time profile,FALSE
bruxelles,FALSE
individual swimming event,FALSE
alignment datum,FALSE
injury pattern,FALSE
englewood cliff,FALSE
vertical position,FALSE
2d video approach,FALSE
american swim coach association,FALSE
american swimming coach association,FALSE
workout load,FALSE
arm elevation,FALSE
200-m front crawl swimming,FALSE
physiological benefit,FALSE
angle and lumbar lordosis,FALSE
recovery and active recovery,FALSE
pattern of skilled butterfly,FALSE
muscle fiber structure,FALSE
hypothermia and cold incapacitation,FALSE
srmr,FALSE
anatomical landmark,FALSE
human propulsion,FALSE
in-person clinic,FALSE
physiology and occupational physiology,FALSE
general guideline,FALSE
short and middle distance,FALSE
additional purpose,FALSE
personal improvement,FALSE
month of life,FALSE
oxidative potential,FALSE
valid and reliable tool,FALSE
swimmer be fast,FALSE
color zone,FALSE
case of tendonitis,FALSE
maturational event,FALSE
torney-chollet,FALSE
energy expenditure,FALSE
shoulder syndrome,FALSE
figueiredo,FALSE
training response,FALSE
sport science laboratory,FALSE
total exchange time,FALSE
ergonomics,FALSE
growth spurt,FALSE
state swimming press,FALSE
seasonal testing date female,FALSE
national-level swimmer,FALSE
recommended training,FALSE
reinboth,FALSE
leg preference,FALSE
incapacitation and swim failure,FALSE
t-test,FALSE
forward motion,FALSE
elite group,FALSE
senior elite group,FALSE
categorical variable,FALSE
arm action,FALSE
combination with beta-2 agonist,FALSE
prestes,FALSE
periodization training,FALSE
blood lactate post,FALSE
great stroke length,FALSE
length of pool,FALSE
sport dietitian,FALSE
olympic report,FALSE
quantitative datum,FALSE
magnitude of difference,FALSE
glenohumeral instability,FALSE
shoulder motion,FALSE
british journal of sport medicine,FALSE
college of sport medicine position,FALSE
practical implication,FALSE
chaudhury,FALSE
bilateral arm power,FALSE
importance of psychological skill,FALSE
three-dimensional analysis,FALSE
shape asymmetry,FALSE
coaching practice,FALSE
anthropometric measure,FALSE
proceeding of xix,FALSE
traditional program,FALSE
mild discomfort,FALSE
realization,FALSE
observable,FALSE
short-term sprint interval,FALSE
firm conclusion,FALSE
pool swimmer,FALSE
hydrofoil,FALSE
muscle mechanic,FALSE
phelps,FALSE
effect of critical speed,FALSE
maximum speed,FALSE
psychoneuroendocrinology,FALSE
university institutional review board,FALSE
sport medicine position stand,FALSE
jeukendrup,FALSE
front-crawl swimming,FALSE
metabolic fatigue,FALSE
kame,FALSE
alteration of lumbar lordosis,FALSE
time magazine preview,FALSE
end of tenth rib,FALSE
arm movement,FALSE
movement and use of arm,FALSE
water stunt,FALSE
human arm model,FALSE
female shape,FALSE
apprehension test,FALSE
brown fat,FALSE
exposure plus sea level,FALSE
comparative analysis,FALSE
asymmetry be common,FALSE
motion of body,FALSE
triathlon,FALSE
swim-time,FALSE
semi-circle,FALSE
amount of low intensity,FALSE
upper trapezius,FALSE
photo of kosuke kitajima,FALSE
200m butterfly,FALSE
series of short sprint,FALSE
development and validation of battery,FALSE
ss condition,FALSE
200m backstroke,FALSE
power performance activity,FALSE
2sportscotland sport institute,FALSE
resistance exercise,FALSE
phosphocreatine,FALSE
contractile unit,FALSE
repeated measure anova,FALSE
great utilization,FALSE
pattern be evident,FALSE
backstroke catch,FALSE
athens olympic,FALSE
recovery zone,FALSE
pelvic,FALSE
contractile force,FALSE
role of lift,FALSE
good streamlining,FALSE
professional baseball player,FALSE
weekly practice,FALSE
collegiate season,FALSE
current datum,FALSE
average improvement,FALSE
experimental effect,FALSE
repeated exposure,FALSE
clinically relevant information,FALSE
percent improvement,FALSE
intensity of work,FALSE
twenty-four elite competitive swimmer,FALSE
joint structure,FALSE
combined force,FALSE
bilateral breathing,FALSE
punitive technical instruction,FALSE
large lung volume,FALSE
movement of swimmer,FALSE
ultra-short sprint,FALSE
backward-facing position,FALSE
snorkel,FALSE
strong effect,FALSE
anaerobic metabolic process,FALSE
olympic year,FALSE
collegiate swimming sample,FALSE
velocity of swimmer,FALSE
evh test,FALSE
post-collegiate swimming,FALSE
amount of training,FALSE
blood lactate level,FALSE
local condition,FALSE
performance decrement,FALSE
variable large group,FALSE
high-intensity exercise,FALSE
time swimming,FALSE
in-water warm-up,FALSE
position statement,FALSE
unpublished manuscript,FALSE
counter,FALSE
pulmonary ventilation,FALSE
pool of muscle fiber,FALSE
meter swimming,FALSE
significant gain,FALSE
series of psychological questionnaire,FALSE
periodization of training,FALSE
force of lift and drag,FALSE
large force,FALSE
alpha level,FALSE
percent of coach,FALSE
sport medicine committee,FALSE
25m repeat,FALSE
dolphin-kicking,FALSE
average time,FALSE
purpose of research,FALSE
computation fluid,FALSE
group comparison,FALSE
relay team exchange time,FALSE
good estimate,FALSE
successful swimmer,FALSE
primary focus,FALSE
suggested,FALSE
intense effort,FALSE
full extension,FALSE
recovery scale,FALSE
karine,FALSE
data analysis,FALSE
self-reported height,FALSE
comprehensive warm-up,FALSE
relative amount,FALSE
late menarche,FALSE
hydrogen ion,FALSE
scandinavian journal of medicine,FALSE
lane bias,FALSE
novice competitor,FALSE
electromyogr kinesiol,FALSE
neighborhood,FALSE
competitive period,FALSE
swimmer peak,FALSE
800m freestyle,FALSE
sufficient recovery,FALSE
200m breaststroke,FALSE
ecological validity,FALSE
time shift,FALSE
meter time,FALSE
total stress load,FALSE
computational fluid dynamics analysis,FALSE
3d analysis technique,FALSE
co-worker,FALSE
terrestrial mammal,FALSE
component of warm-up,FALSE
world championship athlete,FALSE
ventricular remodeling,FALSE
3-month winter period,FALSE
important outcome,FALSE
self-talk,FALSE
shoulder laxity,FALSE
recovery level,FALSE
successfulness,FALSE
reaction effect,FALSE
longitudinal study,FALSE
upper limb muscle,FALSE
intense demand of competition,FALSE
cassettari-wayhs,FALSE
analysis of age,FALSE
publically,FALSE
physiological perspective,FALSE
burgonmaster,FALSE
solid line,FALSE
non-athletes,FALSE
hydrodynamic analysis,FALSE
result of tethered swimming,FALSE
rehabilitation program,FALSE
three-dimensional spatial hand pattern,FALSE
lactate removal mechanism,FALSE
fast rate of energy release,FALSE
individual pool,FALSE
increase oxygen consumption,FALSE
50m repeat,FALSE
prolonged stress,FALSE
arm and hand acceleration,FALSE
major purpose of paper,FALSE
spinal deformity,FALSE
lift effect,FALSE
hydrodynamic drag,FALSE
severe disability,FALSE
2d analysis,FALSE
increase of myoglobin,FALSE
sweep final upsweep figure,FALSE
characteristic of st,FALSE
acclimatization process,FALSE
order of muscle fiber recruitment,FALSE
journal of bone,FALSE
stopwatch,FALSE
traditional endurance-training group,FALSE
similar type,FALSE
identical program of training reduction,FALSE
wibrand,FALSE
short-term success,FALSE
swim aid,FALSE
result of shoulder angle,FALSE
downward force,FALSE
glide efficiency,FALSE
mood state,FALSE
category of training,FALSE
main finding,FALSE
laterally,FALSE
stroke frequency,FALSE
horizontal position,FALSE
horizontal straight position,FALSE
abdominal internal pressure,FALSE
normal bmi,FALSE
raha,FALSE
valuable tool,FALSE
sport devaluation,FALSE
total recovery-stress state,FALSE
small difference,FALSE
conductance,FALSE
considerable variability,FALSE
aerobic enzyme,FALSE
talent development,FALSE
percentage of maximum load,FALSE
glycogen recovery,FALSE
potential performance,FALSE
shoulder movement,FALSE
shapiro-wilk test,FALSE
training technique,FALSE
release of energy,FALSE
basic swimming,FALSE
width of recovery,FALSE
tourney-chollet,FALSE
hand pressure,FALSE
cross country skier,FALSE
sense of competence,FALSE
muscle lactate,FALSE
neurophysiology,FALSE
level of significance,FALSE
present result,FALSE
oceanic and atmospheric administration,FALSE
water swimming,FALSE
swimming program,FALSE
large amount of sub-threshold,FALSE
level be high,FALSE
race analysis,FALSE
traditional assumption,FALSE
coronary artery,FALSE
simplicity of sfps,FALSE
technique drill,FALSE
official result,FALSE
total time,FALSE
tibone,FALSE
great percentage,FALSE
medicine science sport,FALSE
hypoxic condition,FALSE
ventilatory capacity,FALSE
paradigm,FALSE
lewillie,FALSE
total number of stroke,FALSE
oxidation,FALSE
int j sport nutr,FALSE
champaign il,FALSE
moderate effort,FALSE
sarcolemmal giant vesicle,FALSE
dynamic lift,FALSE
part ii of paper,FALSE
pressure of water,FALSE
water pressure,FALSE
observer reliability,FALSE
maturity status,FALSE
participation record,FALSE
individual variability,FALSE
asymmetry and muscle imbalance,FALSE
dysfunction,FALSE
swimmer performance,FALSE
underwater arm stroke motion,FALSE
resistance vessel,FALSE
force generation,FALSE
cardiac problem,FALSE
long jumper,FALSE
photo of zubero,FALSE
national-level female swim population,FALSE
lower-performing swimmer,FALSE
image analysis,FALSE
endurance benefit,FALSE
anaerobic metabolic system,FALSE
anterior tip of acromion,FALSE
breaststroke swimming,FALSE
elite backstroke,FALSE
intensity interval,FALSE
respiratory,FALSE
endurance,FALSE
collegiate athlete,FALSE
overtraining syndrome,FALSE
sprinter and middle distance,FALSE
fat percentage,FALSE
peak power,FALSE
olympic competition,FALSE
rate of improvement,FALSE
physiologic,FALSE
post-testing,FALSE
gonzález-ravé,FALSE
multidisciplinary approach,FALSE
pre-training,FALSE
short-course,FALSE
american swimming,FALSE
100m crawl,FALSE
cold-water swimmer,FALSE
effect of moderate-intensity,FALSE
glycolytic,FALSE
hassmén,FALSE
propulsive effect,FALSE
breastroke,FALSE
henrich,FALSE
high-volume training,FALSE
diastolic volume,FALSE
companion piece,FALSE
cold-water swimming,FALSE
national-level female swim,FALSE
time trial,FALSE
left arm,FALSE
stress-recovery state,FALSE
upper body,FALSE
fta and ftx fiber,FALSE
reference point,FALSE
paddle,FALSE
world-class backstroker,FALSE
swimmer be grateful,FALSE
gold medal winner,FALSE
child with cerebral palsy,FALSE
muscle of deltoid and supraspinatus,FALSE
master athlete,FALSE
elite-level performer,FALSE
san antonio texas,FALSE
habituation,FALSE
altitude camp,FALSE
alignment of spine and body,FALSE
bone growth,FALSE
quality of physical training,FALSE
red cone,FALSE
essential reference,FALSE
standard protocol,FALSE
continuous or short rest swimming,FALSE
finishing stroke,FALSE
crepitus,FALSE
spinal musculoskeletal injury,FALSE
portion of final upsweep,FALSE
acceptable performance,FALSE
levator scapula muscle,FALSE
optimal streamlined alignment,FALSE
polar bear award,FALSE
palapation,FALSE
style of coach,FALSE
psychological tool,FALSE
measurement of swimmer,FALSE
repetition of exercise,FALSE
aquatic environment,FALSE
stress of lumbar segment,FALSE
careful monitoring,FALSE
faculty of health and life science,FALSE
preventative approach,FALSE
rate with noticeable decrease,FALSE
muscle fiber contractile property,FALSE
beginning of cycle preparation,FALSE
baxter-jones,FALSE
backstroke semi-final,FALSE
slow velocity,FALSE
resistance propulsion shape posture flexibility,FALSE
block training system,FALSE
high reliability,FALSE
participant be unable,FALSE
series of photo,FALSE
recent technological advance,FALSE
visual inspection,FALSE
equal amount,FALSE
repeat with adequate recovery,FALSE
beginning of pull,FALSE
polar bear swim champion,FALSE
appointed realization,FALSE
female be advantageous,FALSE
symmetry of activity,FALSE
- and post-intervention time,FALSE
annual polar bear challenge,FALSE
water with underside,FALSE
outreach,FALSE
start line,FALSE
vo2maz,FALSE
distribution of volume and intensity,FALSE
characteristic of polar bear,FALSE
placebo exposure,FALSE
water with three-peak stroke,FALSE
general suggestion,FALSE
entire length,FALSE
significant loss of stroke length,FALSE
characteristically different exchange time,FALSE
short course world champion freestyle,FALSE
individual training exchange time,FALSE
nagle1,FALSE
injury and joint pain,FALSE
duration of application,FALSE
streamlined shape,FALSE
challenge of san francisco,FALSE
sample procedure,FALSE
increasingly popular approach,FALSE
training of muscle,FALSE
position of limb and joint,FALSE
asymmetrical muscle tightness,FALSE
ladder design,FALSE
battery of test,FALSE
frequency of training and training session,FALSE
bacon and carl petersen,FALSE
largely horizontal direction,FALSE
period of denial,FALSE
team be fast,FALSE
disqualification of team,FALSE
canepari,FALSE
foot electrode,FALSE
activation and antagonist muscle,FALSE
high elbow position,FALSE
loading be great,FALSE
intensity group,FALSE
empirical datum,FALSE
lateralisation,FALSE
psychosocial outcome,FALSE
prescribed activity,FALSE
platform of first lane,FALSE
major effect of training,FALSE
polar bear challenge swimming event,FALSE
high trunk action,FALSE
resistance shape most source,FALSE
5th place,FALSE
dolphin-kick group,FALSE
experimental procedure,FALSE
effective dry-land,FALSE
x-ray beam,FALSE
initiation of training,FALSE
whitehead2,FALSE
quart,FALSE
drag vector,FALSE
scope of work,FALSE
swimmer with biomechanical evidence,FALSE
support of customized suit,FALSE
significant number of fta fiber,FALSE
content of emg signal change,FALSE
secondary developmental effect,FALSE
breaststroke event,FALSE
specialized training,FALSE
minimum training,FALSE
standard test protocol,FALSE
human shoulder muscle,FALSE
variable be indicative,FALSE
high - volume,FALSE
4th week,FALSE
attitude and perception of coach,FALSE
psychological measurement,FALSE
combination of science and art,FALSE
lane of pool,FALSE
severity of shoulder pain,FALSE
large paddle,FALSE
critical consideration,FALSE
fish-like,FALSE
cord with increase of agonist,FALSE
asymmetry and swimming performance,FALSE
depressed group,FALSE
measure of aerobic threshold,FALSE
duration of phase of stroke,FALSE
strong influence,FALSE
angle elbow,FALSE
short period of rest,FALSE
adaptation rod havriluk swimming technology,FALSE
metabolite of anaerobic metabolism,FALSE
good prevention,FALSE
preadolescents,FALSE
surgical candidate,FALSE
level of control,FALSE
kinematic parameter,FALSE
intention of study,FALSE
acceleration of forward velocity,FALSE
haematological change,FALSE
baseball pitching,FALSE
pankey,FALSE
detailed analysis of body,FALSE
preliminary heat,FALSE
finding be similar,FALSE
adaptive step -,FALSE
usa ncaa championship,FALSE
interval be december,FALSE
cinquième,FALSE
streamlined body,FALSE
concurrence of theory,FALSE
